Name,Date,Century,Wikipedia_Link
John Armstrong,born 1966,20th,https://en.wikipedia.org/wiki/John_Armstrong_(British_writer/philosopher)
Juan Arnau,born 1968,20th,https://en.wikipedia.org/wiki/Juan_Arnau
Rudolf Arnheim,1904??007,20th,https://en.wikipedia.org/wiki/Rudolf_Arnheim
Raymond Aron,1905??983,20th,https://en.wikipedia.org/wiki/Raymond_Aron
Robert Arp,born 1970,20th,https://en.wikipedia.org/wiki/Robert_Arp
Nomy Arpaly,born 1973,20th,https://en.wikipedia.org/wiki/Nomy_Arpaly
Robert Arrington,1938??015,20th,https://en.wikipedia.org/wiki/Robert_Arrington
Kenneth Arrow,1921??017,20th,https://en.wikipedia.org/wiki/Kenneth_Arrow
Zaki al-Arsuzi,1899??968,20th,https://en.wikipedia.org/wiki/Zaki_al-Arsuzi
Sergei N. Artemov,born 1951,20th,https://en.wikipedia.org/wiki/Sergei_N._Artemov
John Arthur,1946??007,20th,https://en.wikipedia.org/wiki/John_Arthur_(philosopher)
Mariano Artigas,1938??006,20th,https://en.wikipedia.org/wiki/Mariano_Artigas
Adil Asadov,born 1958,20th,https://en.wikipedia.org/wiki/Adil_Asadov
Molefi Kete Asante,born 1942,20th,https://en.wikipedia.org/wiki/Molefi_Kete_Asante
Karl Aschenbrenner,1911??988,20th,https://en.wikipedia.org/wiki/Karl_Aschenbrenner
Pandurang Shastri Athavale,1920??003,20th,https://en.wikipedia.org/wiki/Pandurang_Shastri_Athavale
Margaret Atherton,born 1943,20th,https://en.wikipedia.org/wiki/Margaret_Atherton
George N. Atiyeh,1923??008,20th,https://en.wikipedia.org/wiki/George_N._Atiyeh
Ronald Field Atkinson,1928??005,20th,https://en.wikipedia.org/wiki/Ronald_Field_Atkinson
Henri Atlan,born 1931,20th,https://en.wikipedia.org/wiki/Henri_Atlan
Syed Muhammad Naquib al-Attas,born 1931,20th,https://en.wikipedia.org/wiki/Syed_Muhammad_Naquib_al-Attas
Robin Attfield,born 1931,20th,https://en.wikipedia.org/wiki/Robin_Attfield
Elspeth Attwooll,born 1943,20th,https://en.wikipedia.org/wiki/Elspeth_Attwooll
GwenaÃ«lle Aubry,born 1971,20th,https://en.wikipedia.org/wiki/Gwena%C3%ABlle_Aubry
Robert Audi,born 1941,20th,https://en.wikipedia.org/wiki/Robert_Audi
Lene Auestad,born 1973,20th,https://en.wikipedia.org/wiki/Lene_Auestad
John Langshaw Austin,1911??960[a][b][c][d],20th,https://en.wikipedia.org/wiki/J._L._Austin
Randall Auxier,born 1961,20th,https://en.wikipedia.org/wiki/Randall_Auxier
Armen Avanessian,born 1973,20th,https://en.wikipedia.org/wiki/Armen_Avanessian
Jeremy Avigad,born 1968,20th,https://en.wikipedia.org/wiki/Jeremy_Avigad
Anita Avramides,born 1952,20th,https://en.wikipedia.org/wiki/Anita_Avramides
Kostas Axelos,1924??010,20th,https://en.wikipedia.org/wiki/Kostas_Axelos
Francisco J. Ayala,1934??023,20th,https://en.wikipedia.org/wiki/Francisco_J._Ayala
Alfred Jules Ayer,1910??989[a][b][c][d][e],20th,https://en.wikipedia.org/wiki/Alfred_Ayer
Michael R. Ayers,born 1935,20th,https://en.wikipedia.org/wiki/Michael_R._Ayers
Hiroki Azuma,born 1971,20th,https://en.wikipedia.org/wiki/Hiroki_Azuma
Joxe Azurmendi,born 1941,20th,https://en.wikipedia.org/wiki/Joxe_Azurmendi
Jody Azzouni,born 1954,20th,https://en.wikipedia.org/wiki/Jody_Azzouni
Harriet Baber,born 1950,20th,https://en.wikipedia.org/wiki/Harriet_Baber
Babette Babich,born 1956,20th,https://en.wikipedia.org/wiki/Babette_Babich
Rebeca Baceiredo,born 1979,20th,https://en.wikipedia.org/wiki/Rebeca_Baceiredo
Kent Bach,born 1943,20th,https://en.wikipedia.org/wiki/Kent_Bach
BronisÅaw Baczko,1924??016,20th,https://en.wikipedia.org/wiki/Bronis%C5%82aw_Baczko
Alain Badiou,born 1937,20th,https://en.wikipedia.org/wiki/Alain_Badiou
Julian Baggini,born 1968,20th,https://en.wikipedia.org/wiki/Julian_Baggini
Archie J. Bahm,1907??996,20th,https://en.wikipedia.org/wiki/Archie_J._Bahm
Annette Baier,1929??012[b],20th,https://en.wikipedia.org/wiki/Annette_Baier
Kurt Baier,1917??010[b],20th,https://en.wikipedia.org/wiki/Kurt_Baier
Gordon Park Baker,1938??002,20th,https://en.wikipedia.org/wiki/Gordon_Park_Baker
Lynne Rudder Baker,1944??017,20th,https://en.wikipedia.org/wiki/Lynne_Rudder_Baker
Albena Bakratcheva,born 1961,20th,https://en.wikipedia.org/wiki/Albena_Bakratcheva
Gopal Balakrishnan,born 1966,20th,https://en.wikipedia.org/wiki/Gopal_Balakrishnan
Tom Baldwin,born 1947,20th,https://en.wikipedia.org/wiki/Thomas_Baldwin_(philosopher)
Ãtienne Balibar,born 1942,20th,https://en.wikipedia.org/wiki/%C3%89tienne_Balibar
Renford Bambrough,1926??999,20th,https://en.wikipedia.org/wiki/Renford_Bambrough
Hassan al-Banna,1906??949,20th,https://en.wikipedia.org/wiki/Hassan_al-Banna
Michael Banner,born 1961,20th,https://en.wikipedia.org/wiki/Michael_Banner
Yehoshua Bar-Hillel,1915??975,20th,https://en.wikipedia.org/wiki/Yehoshua_Bar-Hillel
Dorit Bar-On,born 1955,20th,https://en.wikipedia.org/wiki/Dorit_Bar-On
