Name,Date,Century,Wikipedia_Link
Sir William Hamilton,1788??856[a][b][c][d][f],18th,"https://en.wikipedia.org/wiki/Sir_William_Hamilton,_9th_Baronet"
Renn Dickson Hampden,1793??868[f],18th,https://en.wikipedia.org/wiki/Renn_Dickson_Hampden
David Hartley,1705??757[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/David_Hartley_(philosopher)
Julius Charles Hare,1795??855[f],18th,https://en.wikipedia.org/wiki/Julius_Charles_Hare
Graves Chamney Haughton,1788??849[f],18th,https://en.wikipedia.org/wiki/Graves_Chamney_Haughton
Laetitia Matilda Hawkins,1759??851[f],18th,https://en.wikipedia.org/wiki/Laetitia_Matilda_Hawkins
David Ramsay Hay,1798??866[f],18th,https://en.wikipedia.org/wiki/David_Ramsay_Hay
Mary Hays,1760??843[f],18th,https://en.wikipedia.org/wiki/Mary_Hays
Francis Haywood,1798??858[f],18th,https://en.wikipedia.org/wiki/Francis_Haywood
William Hazlitt,1778??830[f],18th,https://en.wikipedia.org/wiki/William_Hazlitt
G.W.F. Hegel,1770??831[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel
Claude Adrien HelvÃ©tius,1715??771[a][b][c][d],18th,https://en.wikipedia.org/wiki/Claude_Adrien_Helv%C3%A9tius
Johann Friedrich Herbart,1776??841[a][d],18th,https://en.wikipedia.org/wiki/Johann_Friedrich_Herbart
Johann Gottfried Herder,1744??803[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Johann_Gottfried_Herder
John Herschel,1792??871[f],18th,https://en.wikipedia.org/wiki/John_Herschel
Samuel Heywood,1753??828[f],18th,https://en.wikipedia.org/wiki/Samuel_Heywood_(chief_justice)
Laurens Perseus Hickok,1798??888,18th,https://en.wikipedia.org/wiki/Laurens_Perseus_Hickok
Hermann Friedrich Wilhelm Hinrichs,1794??861,18th,https://en.wikipedia.org/wiki/Hermann_Friedrich_Wilhelm_Hinrichs
Thomas Hodgskin,1787??869[f],18th,https://en.wikipedia.org/wiki/Thomas_Hodgskin
Josef HoÃ«nÃ©-Wronski,1778??853,18th,https://en.wikipedia.org/wiki/Josef_Ho%C3%ABn%C3%A9-Wronski
Baron d'Holbach,1723??789[a][b][c][e],18th,https://en.wikipedia.org/wiki/Baron_d%27Holbach
Friedrich HÃ¶lderlin,1770??843[a][d],18th,https://en.wikipedia.org/wiki/Friedrich_H%C3%B6lderlin
John Hoppus,1789??875[f],18th,https://en.wikipedia.org/wiki/John_Hoppus
Wilhelm von Humboldt,1767??835[a][b][c][d][e]*,18th,https://en.wikipedia.org/wiki/Wilhelm_von_Humboldt
David Hume,1711??776[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/David_Hume
Friedrich Heinrich Jacobi,1743??819[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Friedrich_Heinrich_Jacobi
Thomas Jefferson,1743??826[b][c][d],18th,https://en.wikipedia.org/wiki/Thomas_Jefferson
Alexander Bryan Johnson,1786??867[d],18th,https://en.wikipedia.org/wiki/Alexander_Bryan_Johnson
Dr. Samuel Johnson,1709??784[b][c][d],18th,https://en.wikipedia.org/wiki/Samuel_Johnson
ThÃ©odore Simon Jouffroy,1796??842,18th,https://en.wikipedia.org/wiki/Th%C3%A9odore_Simon_Jouffroy
Theophilos Kairis,1784??853,18th,https://en.wikipedia.org/wiki/Theophilos_Kairis
Immanuel Kant,1724??804[a][b][c][d][e]*,18th,https://en.wikipedia.org/wiki/Immanuel_Kant
Heinrich von Kleist,1777??811[a],18th,https://en.wikipedia.org/wiki/Heinrich_von_Kleist
Richard Payne Knight,1750??824,18th,https://en.wikipedia.org/wiki/Richard_Payne_Knight
Martin Knutzen,1713??751[d],18th,https://en.wikipedia.org/wiki/Martin_Knutzen
Hugo KoÅÅÄtaj,1750??812,18th,https://en.wikipedia.org/wiki/Hugo_Ko%C5%82%C5%82%C4%85taj
Karl Christian Friedrich Krause,1781??832[a][d],18th,https://en.wikipedia.org/wiki/Karl_Christian_Friedrich_Krause
Nachman Krochmal,1785??840[d],18th,https://en.wikipedia.org/wiki/Nachman_Krochmal
Wilhelm Traugott Krug,1770??842,18th,https://en.wikipedia.org/wiki/Wilhelm_Traugott_Krug
Julien Offray de La Mettrie,1709??751[a][b][c][d],18th,https://en.wikipedia.org/wiki/Julien_Offray_de_La_Mettrie
Jean-Baptiste Lamarck,1744??829[b][c],18th,https://en.wikipedia.org/wiki/Jean-Baptiste_Lamarck
Johann Heinrich Lambert,1728??777[a][d],18th,https://en.wikipedia.org/wiki/Johann_Heinrich_Lambert
Lamennais,1752??854,18th,https://en.wikipedia.org/wiki/Lamennais
Pierre-Simon Laplace,1749??827[a][b][c],18th,https://en.wikipedia.org/wiki/Pierre-Simon_Laplace
Pierre LaromiguiÃ¨re,1756??837,18th,https://en.wikipedia.org/wiki/Pierre_Laromigui%C3%A8re
Giacomo Leopardi,1798??837,18th,https://en.wikipedia.org/wiki/Giacomo_Leopardi
Pierre Leroux,1798??871[a],18th,https://en.wikipedia.org/wiki/Pierre_Leroux
Gotthold Ephraim Lessing,1729??781[a][b][c][d],18th,https://en.wikipedia.org/wiki/Gotthold_Ephraim_Lessing
Georg Christoph Lichtenberg,1742??799[b][c][d],18th,https://en.wikipedia.org/wiki/Georg_Christoph_Lichtenberg
Carl Linnaeus,1707??778[d],18th,https://en.wikipedia.org/wiki/Carl_Linnaeus
Gabriel Bonnot de Mably,1709??785,18th,https://en.wikipedia.org/wiki/Gabriel_Bonnot_de_Mably
Salomon Maimon,1753??800[a][d][e],18th,https://en.wikipedia.org/wiki/Salomon_Maimon
Maine de Biran,1766??824[b][c][d],18th,https://en.wikipedia.org/wiki/Maine_de_Biran
