Id,Label,Type,MovieCount,Genres
정연신_Act_1,정연신,Actor,1,"['드라마', '액션']"
김서준_Act_1,김서준,Actor,3,"['사극', '액션', '드라마']"
김지유_Act_1,김지유,Actor,1,"['스릴러', '범죄']"
엄상현_Act_1,엄상현,Actor,2,['애니메이션']
최하윤_Act_1,최하윤,Actor,1,"['공포(호러)', '스릴러', '미스터리']"
이재윤_Act_1,이재윤,Actor,1,['드라마']
한여름_Act_1,한여름,Actor,2,"['공포(호러)', '미스터리', '코미디', '멜로/로맨스']"
정성훈_Act_1,정성훈,Actor,2,['액션']
정종훈_Act_1,정종훈,Actor,2,"['사극', '액션', '드라마']"
이시안_Act_1,이시안,Actor,2,"['사극', '액션', '드라마']"
이시훈_Act_1,이시훈,Actor,3,"['액션', '기타', '드라마', 'SF', '판타지']"
전상원_Act_1,전상원,Actor,2,"['드라마', '액션']"
권오숙_Act_1,권오숙,Actor,1,"['드라마', '판타지', '멜로/로맨스']"
김무성_Act_1,김무성,Actor,1,"['액션', '범죄']"
조호천_Act_1,조호천,Actor,1,"['액션', '스릴러']"
정교_Act_1,정교,Actor,1,"['액션', '범죄']"
이규탁_Act_1,이규탁,Actor,5,"['사극', '액션', '드라마', '범죄']"
차승원_Act_1,차승원,Actor,1,['코미디']
박현진_Act_1,박현진,Actor,1,['드라마']
서지원_Act_1,서지원,Actor,3,"['드라마', '멜로/로맨스', '스릴러', '범죄']"
한규원_Act_1,한규원,Actor,3,"['드라마', '액션', '스릴러', '범죄']"
이주연_Act_1,이주연,Actor,1,"['액션', '드라마', '스릴러']"
차재훈_Act_1,차재훈,Actor,1,['멜로/로맨스']
김지원_Act_1,김지원,Actor,1,['드라마']
임수현_Act_1,임수현,Actor,1,"['액션', '코미디']"
손동제_Act_1,손동제,Actor,1,"['액션', '스릴러', '범죄']"
손지나_Act_1,손지나,Actor,1,"['코미디', '멜로/로맨스']"
김인묵_Act_1,김인묵,Actor,1,"['액션', '범죄']"
임성균_Act_1,임성균,Actor,2,"['드라마', '코미디']"
문영_Act_1,문영,Actor,1,"['전쟁', '드라마']"
홍산_Act_1,홍산,Actor,1,['드라마']
황성웅_Act_1,황성웅,Actor,3,"['사극', '액션', '드라마']"
배유빈_Act_1,배유빈,Actor,1,['멜로/로맨스']
권재원_Act_1,권재원,Actor,1,['코미디']
김하언_Act_1,김하언,Actor,1,"['스릴러', '범죄']"
김영원_Act_1,김영원,Actor,1,['드라마']
탁재형_Act_1,탁재형,Actor,1,"['SF', '가족', '멜로/로맨스']"
장세원_Act_1,장세원,Actor,1,"['액션', '스릴러']"
김하영_Act_1,김하영,Actor,1,"['공포(호러)', '미스터리']"
이루겸_Act_1,이루겸,Actor,3,"['액션', '드라마', '범죄']"
이풍운_Act_1,이풍운,Actor,1,"['액션', '범죄']"
최백구_Act_1,최백구,Actor,1,['드라마']
손우현_Act_1,손우현,Actor,1,"['액션', '코미디']"
박정환_Act_1,박정환,Actor,1,"['공포(호러)', '스릴러', '미스터리']"
조윤상_Act_1,조윤상,Actor,1,"['드라마', '액션']"
안내상_Act_1,안내상,Actor,1,['드라마']
김민상_Act_1,김민상,Actor,1,"['사극', '액션']"
안예림_Act_1,안예림,Actor,1,"['공포(호러)', '미스터리']"
고동옥_Act_1,고동옥,Actor,1,"['액션', '범죄']"
유하람_Act_1,유하람,Actor,1,"['액션', '범죄']"
김성오_Act_1,김성오,Actor,2,['드라마']
이재인_Act_1,이재인,Actor,1,"['액션', '스릴러']"
정구명_Act_1,정구명,Actor,1,"['액션', '범죄']"
김남우_Act_1,김남우,Actor,2,"['드라마', '공포(호러)', '스릴러']"
조한준_Act_1,조한준,Actor,2,"['액션', '스릴러', '코미디', '범죄']"
신연재_Act_1,신연재,Actor,3,"['드라마', '코미디']"
조한길_Act_1,조한길,Actor,1,"['액션', 'SF', '판타지']"
민새희_Act_1,민새희,Actor,1,"['액션', 'SF', '판타지']"
김혜나_Act_1,김혜나,Actor,3,"['드라마', '코미디']"
박영_Act_1,박영,Actor,1,"['공포(호러)', '멜로/로맨스']"
유해진_Act_1,유해진,Actor,1,"['액션', '스릴러']"
선민_Act_1,선민,Actor,2,"['전쟁', '드라마']"
박영운_Act_1,박영운,Actor,1,['액션']
김나연_Act_1,김나연,Actor,2,"['공연', '뮤지컬']"
김세환_Act_1,김세환,Actor,1,"['드라마', '코미디']"
손민준_Act_1,손민준,Actor,1,['미스터리']
정성렬_Act_1,정성렬,Actor,1,"['공포(호러)', '스릴러', '미스터리']"
김세빈_Act_1,김세빈,Actor,1,['액션']
문경린_Act_1,문경린,Actor,1,"['액션', '범죄']"
전시완_Act_1,전시완,Actor,1,['액션']
박현일_Act_1,박현일,Actor,1,['드라마']
이채훈_Act_1,이채훈,Actor,1,"['공포(호러)', '미스터리']"
손인용_Act_1,손인용,Actor,1,"['액션', '범죄']"
이제훈_Act_1,이제훈,Actor,1,"['사극', '액션']"
