Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality
Geminus,0.0080470442587434,0.0083565459610027,0.3135551858313536,9.704419951475955e-06,0.0087547172119208,0,26,,
Zeno of Elea,0.0092850510677808,0.0250696378830083,0.3203783451669518,0.000122458982602,0.0096318202157204,0,30,,
Cleomedes,0.0080470442587434,0.0068090374497059,0.3118111629772269,6.261897102024479e-06,0.0084394122345593,0,26,,
Ptolemy,0.0210461157536366,0.0080470442587434,0.3568955145291497,0.0002492750668053,0.022252558215375,0,68,,
Simplicius of Cilicia,0.0089755493655215,0.0266171463943051,0.3260763492924043,0.0003252519768698,0.0110106794892239,0,29,,
Dante Alighieri,0.0284741566078613,0.0263076446920458,0.3622620309027084,0.0022914948222408,0.0450845184747915,0,92,1265.0,0.0
Nicholas of Cusa,0.0343546889507892,0.032497678737233,0.3519829223223973,0.0010509241769202,0.0482774730724226,0,111,1401.0,0.0
Johann Wolfgang von Goethe,0.0092850510677808,0.0126895697926338,0.3223623313805258,0.0009650651880687,0.0039033127032216,0,30,1749.0,0.0
Friedrich Nietzsche,0.0683998761993191,0.0473537604456824,0.4096574708648249,0.0195391578631494,0.0624267863309045,0,221,1844.0,0.0
Anaxarchus,0.0012380068090374,0.0012380068090374,0.2702941643647746,0.000102340980477,0.0003923467292339,0,4,,
Metrodorus of Chios,0.0006190034045187,0.0015475085112968,0.2179530887980631,7.124377056220942e-06,1.6108847888483364e-05,0,2,,
Hicetas,0.0034045187248529,0.0037140204271123,0.3178977712839798,6.695649396854026e-06,0.0038866971598934,0,11,,
Seneca the Younger,0.0037140204271123,0.0068090374497059,0.3194654863204487,0.0004806307098082,0.0042165797602482,0,12,,
Eusebius of Caesarea,0.004333023831631,0.0225936242649334,0.316826710430833,0.0005597064443965,0.0070218233502737,0,14,,
Themistius,0.007737542556484,0.0024760136180748,0.3404323908296268,7.805947594341792e-06,0.0099698117996577,0,25,,
Henry George,0.0102135561745589,0.0061900340451872,0.3427539756230564,0.0005627879424941,0.0071032026976143,0,33,1839.0,0.0
Martin Heidegger,0.0615908387496131,0.0334261838440111,0.3948960393760626,0.0192410318615309,0.0428850295046949,0,199,1889.0,0.0
Bertrand Russell,0.0968740328071804,0.0665428659857629,0.4528697471918742,0.0289957950220393,0.1150673824918562,0,313,1872.0,0.0
Marcel Conche,0.0006190034045187,0.000928505106778,0.2864140855447136,0.0003235422235908,0.0010586551500313,0,2,1922.0,0.0
Jacques Derrida,0.032497678737233,0.021355617455896,0.3509658755928359,0.009806041478709,0.0104476885332843,0,105,1930.0,0.0
Werner Heisenberg,0.0061900340451872,0.0027855153203342,0.3156944512317625,8.687508230854874e-05,0.0026603645855271,0,20,1901.0,0.0
Karl Popper,0.057257814917982,0.0557103064066852,0.4101762435168277,0.0157043932440426,0.0671115783960929,0,185,1902.0,0.0
John Sallis,0.0006190034045187,0.0021665119158155,0.2783464683160598,0.0003043497233007,0.0004486975549801,0,2,1938.0,0.0
Anaximenes of Miletus,0.0,0.0238316310739709,0.0,0.0,4.997075122549391e-32,0,0,,
Xenophanes of Colophon,0.0012380068090374,0.0266171463943051,0.274338656378138,0.0002911217441251,0.0007630890313321,0,4,,
Isaac Newton,0.0414732281027545,0.0219746208604147,0.384276636260756,0.0074530768225288,0.0357655281034243,0,134,1642.0,0.0
Andronicus of Rhodes,0.0061900340451872,0.0027855153203342,0.3516008397870093,8.198884911320605e-06,0.0138964858658356,0,20,,
Aristoxenus,0.0080470442587434,0.004333023831631,0.3566335408213965,2.570568752586237e-05,0.0166628102885916,0,26,,
Aspasius,0.0027855153203342,0.0030950170225936,0.3348021778654065,2.969658483844867e-06,0.0047661687770051,0,9,,
Shukracharya,0.0003095017022593,0.0,0.2094358553722189,0.0,6.9607963706541564e-06,0,1,,
Akspada Gautama,0.0,0.0201176106468585,0.0,0.0,4.997075122549391e-32,0,0,,
Gautama Buddha,0.0139275766016713,0.0064995357474466,0.3187668193192011,0.0011845554288347,0.0036624522425788,0,45,,
Chanakya,0.0495202723614979,0.0095945527700402,0.4258139881206682,0.0043307574709068,0.0462299984552453,0,160,,
Confucius,0.096564531104921,0.0207366140513772,0.4557727583918222,0.0092002134705864,0.0843229241027175,0,312,,
Dong Zhongshu,0.01454658000619,0.0136180748994119,0.3204135593178824,3.215089724020547e-05,0.0076909706644429,0,47,,
Han Fei,0.0532342927886103,0.0173320953265242,0.4247592252184314,0.0024382099589595,0.0469574728029509,0,172,,
Mahavira,0.0148560817084493,0.0071185391519653,0.3159339506528769,0.0029239106405249,0.0028322498492562,0,48,,
Mencius,0.078613432373878,0.0182606004333023,0.4421541881805088,0.0044754677490379,0.0709548468352217,0,254,,
Mozi,0.0857319715258433,0.0194986072423398,0.45244801531493,0.0054140173784499,0.0888700154324946,0,277,,
Shang Yang,0.0157845868152274,0.0176415970287836,0.3205544933664058,0.0007239530205251,0.0079969846720923,0,51,,
Sun Tzu,0.0529247910863509,0.0170225936242649,0.4246973430469252,0.0022524729035967,0.0466942189868649,0,171,,
Uddalaka Aruni,0.0092850510677808,0.0086660476632621,0.3145702560347572,0.0013061901827823,0.0027595093597063,0,30,1000.0,0.0
Xun Zi,0.0034045187248529,0.0176415970287836,0.2757399321485144,9.518370035859545e-05,0.001004284238462,0,11,,
Bhartrhari,0.0018570102135561,0.0012380068090374,0.2183939588458266,1.054033476283478e-06,1.7150626897049605e-05,0,6,,
Buddhaghosa,0.0185701021355617,0.0074280408542246,0.3180712016011014,0.000349835885312,0.0033632651587547,0,60,,
Dharmakirti,0.0210461157536366,0.0170225936242649,0.3549400417233769,0.0023229121647449,0.0212295353763976,0,68,,
Fazang,0.0055710306406685,0.0052615289384091,0.2762887463438626,3.735590780525779e-05,0.0010172515282987,0,18,,
Han Yu,0.0157845868152274,0.0139275766016713,0.3205544933664058,0.000300968304434,0.0077328358105957,0,51,,
Nagarjuna,0.0198081089445991,0.0105230578768183,0.3189760983339638,0.0012238605340871,0.0034956594186965,0,64,,
Udayana,0.004333023831631,0.0003095017022593,0.239474456803918,2.240217931250107e-06,8.327311957232856e-05,0,14,,
Udayana,0.004333023831631,0.0003095017022593,0.239474456803918,2.240217931250107e-06,8.327311957232856e-05,0,14,,
Uddyotakara,0.0006190034045187,0.0003095017022593,0.0006190034045187,4.7910480225907496e-08,1.6490347904413004e-30,0,2,,
Uisang,0.004333023831631,0.0037140204271123,0.275792106213254,6.961593611954551e-06,0.0009345102930868,0,14,,
Vasubandhu,0.02909316001238,0.0297121634168987,0.3567208226473439,0.0093400743170002,0.0216710945739969,0,94,,
Vatsyayana,0.0012380068090374,0.0,0.1895894055390787,0.0,5.461882350706825e-07,0,4,,
Zhiyi,0.0136180748994119,0.0176415970287836,0.2833241872557192,0.0004651985476278,0.0018185201435015,0,44,,
Zongmi,0.0058805323429278,0.0058805323429278,0.2780809465490885,1.7151208439059628e-05,0.0012506933036008,0,19,,
Cheng Hao,0.01454658000619,0.0139275766016713,0.3204487812107392,0.0001192573890287,0.0075086173935589,0,47,1032.0,0.0
Cheng Yi,0.0148560817084493,0.0142370783039306,0.3204840108480755,8.484166462195075e-05,0.0075086173935589,0,48,1033.0,0.0
Dogen,0.0074280408542246,0.0052615289384091,0.3262588206686171,0.000488154807856,0.003891900257683,0,24,1200.0,0.0
Jinul,0.0058805323429278,0.0046425255338904,0.2780809465490885,1.741792016338739e-05,0.0011373928766232,0,19,1158.0,0.0
Jayatirtha,0.0114515629835964,0.0055710306406685,0.2790659163961415,0.000434044324061,0.0012042139471446,0,37,1345.0,0.0
Zhu Xi,0.017951098731043,0.022284122562674,0.3212610274051239,0.001849025159841,0.0077450614767341,0,58,1130.0,0.0
Chaitanya Mahaprabhu,0.0092850510677808,0.0089755493655215,0.2776307202546756,9.563992162091988e-05,0.0011176389081956,0,30,1486.0,0.0
Fujiwara Seika,0.0037140204271123,0.0,0.2758152981868632,0.0,0.0009053413112215,0,12,1561.0,0.0
Vyasatirtha,0.0117610646858557,0.0049520272361497,0.2790926340520914,0.0002156257996574,0.0012042139471446,0,38,1460.0,0.0
Yi Hwang,0.0037140204271123,0.0018570102135561,0.276498393500341,0.0002299389403761,0.0009389419944901,0,12,1501.0,0.0
Yi I,0.007737542556484,0.0003095017022593,0.3059853639838453,9.640609220345657e-06,0.0024112755578167,0,25,1536.0,0.0
Huang Zongxi,0.0139275766016713,0.0136180748994119,0.320343138755395,2.220404453656313e-05,0.0074957132875515,0,45,1610.0,0.0
Wang Fuzhi,0.01454658000619,0.0136180748994119,0.3208720487258222,5.810693905283469e-05,0.0076365998641311,0,47,1619.0,0.0
Motoori Norinaga,0.0037140204271123,0.0003095017022593,0.2757399321485144,1.016804143926237e-06,0.0009990528086398,0,12,1730.0,0.0
Feng Youlan,0.0151655834107087,0.01454658000619,0.3254211389455341,0.0007727144790433,0.0080964541477754,0,49,1895.0,0.0
Kang Youwei,0.0151655834107087,0.0139275766016713,0.3219706828665887,8.080118975872791e-05,0.0078219325553259,0,49,1858.0,0.0
Liu Shaoqi,0.0037140204271123,0.000928505106778,0.2817360164950319,5.846713342460501e-07,0.0010796781348132,0,12,1898.0,0.0
Mao Zedong,0.0235221293717115,0.0250696378830083,0.3508391578618479,0.0033015466582192,0.0125103139426627,0,76,1893.0,0.0
Sun Yat-sen,0.0207366140513772,0.007737542556484,0.3387707800899587,0.0010653920772414,0.0109070627771106,0,67,1866.0,0.0
Julian Baggini,0.0034045187248529,0.0003095017022593,0.2964330448112766,3.743459996234184e-06,0.0014102153116429,0,11,1968.0,0.0
Johannes Bronkhorst,0.0027855153203342,0.0006190034045187,0.2747782602200108,0.0003211604361738,0.0004329934991311,0,9,1946.0,0.0
Jaegwon Kim,0.0238316310739709,0.0015475085112968,0.3582992333670224,0.0008687941186641,0.0468486796056356,0,77,1934.0,0.0
Bimal Krishna Matilal,0.0027855153203342,0.0012380068090374,0.2405613601810607,0.0001202094574114,5.318499140700849e-05,0,9,1935.0,0.0
Mou Zongsan,0.01454658000619,0.0148560817084493,0.3316785257337689,0.0005777891583811,0.0087786229985491,0,47,1909.0,0.0
Titus Pomponius Atticus,0.0006190034045187,0.0012380068090374,0.3093953048900546,2.188582945445657e-08,0.0016422247269987,0,2,,
Crantor,0.0167130919220055,0.0210461157536366,0.3423916564099242,1.470189727808916e-05,0.0301195261178761,0,54,,
Heraclides Ponticus,0.0188796038378211,0.0235221293717115,0.3454755348037562,0.0001327322875921,0.032131121684947,0,61,,
Metrodorus of Stratonicea,0.0164035902197462,0.0204271123491179,0.342351445998132,3.5593756623871506e-06,0.0301195261178761,0,53,,
Philodemus of Gadara,0.0006190034045187,0.0030950170225936,0.2745712124587072,2.087189349812565e-07,0.0004767847390418,0,2,,
Aedesius,0.0164035902197462,0.0204271123491179,0.342351445998132,3.5593756623871506e-06,0.0301195261178761,0,53,,
Albinus,0.0182606004333023,0.0210461157536366,0.3492837961507422,0.0001639760123142,0.0324464329518223,0,59,,
Chrysanthius,0.0164035902197462,0.0204271123491179,0.342351445998132,3.5593756623871506e-06,0.0301195261178761,0,53,,
David the Invincible,0.0170225936242649,0.0210461157536366,0.3452709419251563,9.181476126135644e-05,0.0305517391323153,0,55,,
Al-Farabi,0.0699473847106159,0.0362116991643454,0.4319339995072003,0.0077123668784816,0.0843009223011909,0,226,,
Longinus,0.0198081089445991,0.0049520272361497,0.3604702068349319,0.0002824722376309,0.0333855157151946,0,64,,
Gaius Marius Victorinus,0.0167130919220055,0.0021665119158155,0.3423916564099242,1.117928610538556e-06,0.0305394364423869,0,54,,
Pseudo-Dionysius the Areopagite,0.0458062519343856,0.0439492417208294,0.3657160409828245,0.0029631193110967,0.0687862058931565,0,148,,
Anselm,0.0875889817393995,0.0622098421541318,0.4268115025877151,0.0128732538355945,0.1165392746286676,0,283,1034.0,0.0
Bonaventure,0.0603528319405756,0.0399257195914577,0.375418230865949,0.0037490396019299,0.0774012481077466,0,195,1221.0,0.0
Henry of Ghent,0.0458062519343856,0.0352831940575673,0.3649834183891441,0.0010485062039575,0.068644089583773,0,148,1217.0,0.0
Meister Eckhart,0.0519962859795728,0.0554008047044258,0.3756117204837127,0.005533644473382,0.0733633696152361,0,168,1260.0,0.0
Paul of Venice,0.0281646549056019,0.0049520272361497,0.3535195928540013,0.0012437880509975,0.0448790513053889,0,91,1369.0,0.0
Theodoric of Freiberg,0.0167130919220055,0.0021665119158155,0.3423916564099242,7.922471380351444e-06,0.0305394364423869,0,54,1250.0,0.0
Giordano Bruno,0.0235221293717115,0.0052615289384091,0.3493256516086392,0.0016894942751658,0.0330594777835197,0,76,1548.0,0.0
Marsilio Ficino,0.0417827298050139,0.0445682451253481,0.3830647257127588,0.0040811710689627,0.0657973538347438,0,135,1433.0,0.0
