Source,Target
Anaximenes of Miletus,Marcus Aurelius
Anaximenes of Miletus,Damascius
Anaximenes of Miletus,Diogenes of Oenoanda
Anaximenes of Miletus,Epictetus
Anaximenes of Miletus,Favorinus
Anaximenes of Miletus,Galen
Anaximenes of Miletus,Iamblichus
Anaximenes of Miletus,Lucian
Anaximenes of Miletus,Lucius Annaeus Cornutus
Anaximenes of Miletus,Numenius of Apamea
Anaximenes of Miletus,Philostratus
Anaximenes of Miletus,Plotinus
Anaximenes of Miletus,Porphyry
Anaximenes of Miletus,Proclus
Anaximenes of Miletus,Sextus Empiricus
Anaximenes of Miletus,Syrianus
Anaximenes of Miletus,Isaac Newton
Anaximenes of Miletus,Werner Heisenberg
Anaximenes of Miletus,Karl Popper
Andronicus of Rhodes,Aristotle
Andronicus of Rhodes,Aristoxenus
Andronicus of Rhodes,Plato
Andronicus of Rhodes,Strato of Lampsacus
Andronicus of Rhodes,Theophrastus
Andronicus of Rhodes,Alexander of Aphrodisias
Andronicus of Rhodes,Aspasius
Andronicus of Rhodes,Porphyry
Andronicus of Rhodes,Themistius
Angiras,Agastya
Angiras,Ashtavakra
Angiras,Dirghatamas
Angiras,Jaimini
Angiras,Kapila
Angiras,Kanada
Angiras,Markandeya
Angiras,Parashara
Angiras,Shvetashvatara
Angiras,Shukracharya
Angiras,Vasishtha
Angiras,Yajnavalkya
Angiras,Bhoja
Anniceris,Plato
Anniceris,Socrates
Anniceris,Clement of Alexandria
Akspada Gautama,Agastya
Akspada Gautama,Ashtavakra
Akspada Gautama,Gautama Buddha
Akspada Gautama,Chanakya
Akspada Gautama,Confucius
Akspada Gautama,Dong Zhongshu
Akspada Gautama,Han Fei
Akspada Gautama,Jaimini
Akspada Gautama,Kapila
Akspada Gautama,Kanada
Akspada Gautama,Mahavira
Akspada Gautama,Mencius
Akspada Gautama,Markandeya
Akspada Gautama,Mozi
Akspada Gautama,Shang Yang
Akspada Gautama,Shvetashvatara
Akspada Gautama,Sun Tzu
Akspada Gautama,Uddalaka Aruni
Akspada Gautama,Xun Zi
Akspada Gautama,Yajnavalkya
Akspada Gautama,Abhinavagupta
Akspada Gautama,Adi Shankara
Akspada Gautama,Bhartrhari
Akspada Gautama,Buddhaghosa
Akspada Gautama,Dharmakirti
Akspada Gautama,Fazang
Akspada Gautama,Han Yu
Akspada Gautama,Jayanta Bhatta
Akspada Gautama,Nagarjuna
Akspada Gautama,Udayana
Akspada Gautama,Uddyotakara
Akspada Gautama,Uisang
Akspada Gautama,Valluvar
Akspada Gautama,Vasubandhu
Akspada Gautama,Vatsyayana
Akspada Gautama,Zhiyi
Akspada Gautama,Zongmi
Akspada Gautama,Cheng Hao
Akspada Gautama,Cheng Yi
Akspada Gautama,Dogen
