movie_cd,title,director,actors,actor_count,release_date,genre,genre_count,production_year,show_time
20196474,잘주는 누나들 무삭제판,천성준,[],0,20190920,['멜로/로맨스'],1,2019,95
20181552,거짓말 : 여자 모델의 섹스 무삭제,유해종,[],0,20190919,['멜로/로맨스'],1,2018,96
20185350,칠곡 가시나들,김재환,"['박금분', '곽두조', '강금연', '안윤선', '박월선', '김두선', '이원순', '박복형', '주석희', '박근붐']",10,20190227,['다큐멘터리'],1,2018,99
20197153,화끈한 룸메이트 무삭제판,백석동,"['진시아', '도모세']",2,20190918,"['성인물(에로)', '코미디', '멜로/로맨스']",3,2019,102
20197381,남의 아내 무삭제판,한동호,[],0,20190917,"['드라마', '멜로/로맨스']",2,2018,98
20185426,아들의 여자,김부곤,['박주빈'],1,20190916,['멜로/로맨스'],1,2018,71
20196134,어린여동생-무삭제,정민용,[],0,20190913,['멜로/로맨스'],1,2019,82
20195871,옆집소녀3,성기만,[],0,20190911,['멜로/로맨스'],1,2019,72
20198004,미용실 : 특별한 서비스 3 무삭제,김종민,[],0,20190911,['멜로/로맨스'],1,2019,98
20185419,누나 친구 3 무삭제,김부곤,['박주빈'],1,20190911,['멜로/로맨스'],1,2018,89
20183475,내 아내의 엄마 무삭제,김부곤,[],0,20190911,['멜로/로맨스'],1,2018,81
20196827,나의 젊은 형수님 - 감독판,이정,[],0,20190911,['멜로/로맨스'],1,2019,81
20193446,나쁜 처제들,이재금,[],0,20190911,"['멜로/로맨스', '드라마']",2,2019,60
20184572,타짜: 원 아이드 잭,권오광,"['박정민', '류승범', '최유화', '우현', '윤제문', '이광수', '임지연', '권해효', '주진모', '최동훈', '이상희', '김예은', '김희원', '배유람', '최재환', '이창희', '이창훈', '오동민', '장준휘', '오혜원', '여이레', '이홍내', '신문성', '이윤상', '유정호', '남진복', '박혁민', '황재열', '최원', '임현성', '서정연', '이지훈', '현봉식', '최재현', '오동민', '김창환', '오봄길', '박경근', '김형묵', '유정호', '김태준', '유상훈', '이택근', '오경민', '김철환', '박규선', '진모', '류효정', '오누리', '박무영', '이규호', '지희제', '박상규', '김세인', '홍주형', '한동원', '현오봉', '이홍내', '황재열', '백예현', '박지한', '서승교', '신민서', '김종숙', '권혁준', '오태은', '최남욱', '김남훈', '최현수', '김준희', '김성강', '이무녕', '남승화', '박대성', '윤영걸', '황재명', '이장원', '이명엽', '이정훈', '차시연', '노승은', '김대한', '곽기훈', '고주선', '서윤하', '김진옥', '김영희', '김윤숙', '김유영', '최희영', '정유준', '김혜지', '김성수', '김태현', '안상은', '정세희', '이시안', '지수', '안소미', '김이슬', '라일라', '태지우', '장규미', '최윤빈', '조기태', '김창조', '윤태인', '노진영', '방태현', '임효진', '김광수', '원탐슬', '김정남', '이경수', '김민광', '박동훈', '김시운', '최명빈', '홍예서', '김인애', '박지은', '윤금선아']",122,20190911,"['범죄', '드라마']",2,2019,139
20180948,시아버지와 두 며느리 2 무삭제,정완경,[],0,20190910,['멜로/로맨스'],1,2018,71
20193444,스와핑: 교수와 제자들 - 감독판,이정,[],0,20190910,"['멜로/로맨스', '드라마']",2,2019,83
20189246,밀애 : 착한 처제 무삭제,정완경,[],0,20190910,['멜로/로맨스'],1,2018,72
20194973,가정부 길들이기 무삭제판,한동호,[],0,20190910,"['드라마', '멜로/로맨스']",2,2018,92
20190741,김복동,송원근,['한지민'],1,20190808,['다큐멘터리'],1,2019,101
20195874,이모의유혹2-무삭제,김이슬,[],0,20190906,['멜로/로맨스'],1,2019,94
20173383,불빛 아래서,조이예환,"['박종현', '박준범', '이찬희', '김내현', '이민우', '김진규', '정윤겸', '백선혁', '최민규', '남기상', '류신홍', '김민규', '안도현', '안지원', '우석제', '우주', '윤도현', '최동현', '김재광', '김희권', '황성민', '윤준호', '김주호', '강태근', '고한웅', '기명신', '최희용', '김남인', '김영진', '이동훈', '조재신', '남고래', '육중완', '김진우', '오경록', '오선영', '송국정', '성필순', '황세연', '황정익', '이성훈', '이선우', '박유진']",43,20190829,['다큐멘터리'],1,2017,95
20195562,사돈 처녀 2,최우성,[],0,20190905,['멜로/로맨스'],1,2019,75
20184621,엑시트,이상근,"['조정석', '임윤아', '설도희', '최재영', '고두심', '김환영', '변건우', '황지현', '황효은', '고두심', '박인환', '김지영', '강기영', '배유람', '유수빈', '정민성', '박성일', '신세휘', '김강훈', '김병순', '김종구', '강기영', '이봉련', '배해선', '이동휘', '최재영', '오희준', '조성희', '주보비', '김강현', '김경룡', '강덕중', '강충훈', '박상혁', '곽민규', '민대웅', '권혁주', '박윤희', '박윤희', '박정환', '박주홍', '백현익', '신철진', '양지혜', '오누리', '김상보', '윤대열', '오유진', '김서율', '김선호', '김수연', '김현수', '김현수', '이정인', '정재은', '임희수', '최서현', '정지우', '최성윤', '김형기', '이선우', '이성수', '이성훈', '조성동', '김호정', '조예린', '황슬기', '조윤호', '전혜원', '이찬유', '조은성', '최재영', '이수정', '김주아', '김준수', '이경오', '주보비', '주보비', '최진영', '곽새빛', '곽호중', '권상혁', '최현아', '권은빈', '최혜인', '기상원', '채서원', '김한솔', '이동희', '이랑서', '김태한', '임종현', '이창진', '김이석', '한우리', '이화정', '김태환', '주예서', '김태율', '정우영', '정새다솜', '정윤지', '채승혜', '슈기', '천대만', '윤해빈', '이채원', '이재국', '이학광', '최영도', '이현하', '박재랑', '이용탁', '박채익', '반혜라', '탁트인', '손현준', '장서우', '송원수', '한서율', '한승효', '한윤식', '허철', '허형규', '홍나현', '강경수', '김보성']",127,20190731,"['코미디', '액션']",2,2019,103
20194985,젊은 며느리 무삭제판,한동호,[],0,20190903,"['드라마', '멜로/로맨스']",2,2018,90
20194972,은밀한 여작가의 사생활 무삭제판,한동호,[],0,20190903,"['멜로/로맨스', '드라마']",2,2018,92
20192689,별의 정원,원종식,"['김연우', '신용우', '전태열', '배수빈', '김새해', '시영준', '김새해', '이미연', '엄상현', '홍범기', '홍범기', '조규진', '이미형', '이현정']",14,20190704,"['애니메이션', '판타지']",2,2019,74
20195327,젊은엄마 그리고 섹스,이민환,[],0,20190829,['멜로/로맨스'],1,2019,69
20195466,가슴 큰 여자친구 무삭제판,준세,[],0,20190828,['멜로/로맨스'],1,2019,95
20196082,여성친구,우기상,[],0,20190830,['성인물(에로)'],1,2019,83
20193462,내 여친은 20살,윤중부,[],0,20190830,['드라마'],1,2019,59
20196073,긴섹충,우기상,[],0,20190830,['성인물(에로)'],1,2019,88
20194909,건달티처,어일선,"['지화섭', '주보비', '오재무', '천인서', '지남혁', '백진환', '김라희', '이경은', '한희택', '조성구', '조성희', '최훈재']",12,20190829,['액션'],1,2019,84
20194364,잘주는 여비서들 무삭제,윤중부,[],0,20190828,['드라마'],1,2019,79
20194363,여친의 속사정 무삭제,윤중부,[],0,20190828,['드라마'],1,2019,80
20192148,음란 과외 2 - 무삭제판,최우성,[],0,20190828,['멜로/로맨스'],1,2019,94
20196310,스와핑 : 두자매,김진수,[],0,20190830,['멜로/로맨스'],1,2019,60
20185922,정사 : 아내의 친구 2,조태호,[],0,20190827,['멜로/로맨스'],1,2018,69
20194321,발기찬 처가살이 무삭제판,한동호,[],0,20190827,"['드라마', '멜로/로맨스']",2,2018,91
20199952,동호회의 목적 2 무삭제,김부곤,"['안소희', '이은미']",2,20190827,['멜로/로맨스'],1,2019,80
20195804,"처제는, 처제와, 처제의...(무삭제판)",노현진,"['설영', '아리', '민도윤']",3,20190826,"['멜로/로맨스', '드라마']",2,2018,95
20183630,착한 엄마 3,김빛나,"['이채담', '이수민']",2,20190826,['멜로/로맨스'],1,2018,70
20181416,유열의 음악앨범,정지우,"['김고은', '정해인', '최강희', '박해준', '김국희', '정유진', '최준영', '유열', '이미라', '심달기', '나철', '권은수', '박세현', '김한나', '남문철', '강민지', '고경희', '곽민석', '박성용', '권혁', '김경미', '박지연', '김대곤', '김도연', '김도영', '김동규', '김동준', '신이지', '김민', '변주현', '안현빈', '유병선', '유병선', '연제욱', '윤대열', '김세경', '윤상정', '윤재국', '이정진', '이서한', '허지나', '최영우', '홍성덕', '홍종호', '홍현종', '이찬희', '김희진', '황재열', '강서은', '김중기', '김지안', '구권모', '이혜원', '최효주', '김진옥', '김사랑', '이영훈', '김주빈', '김현', '이유경', '이유경', '이유경', '이유경', '정애리', '원미원', '노윤지', '유성주', '유현준', '박기량', '윤옥길', '심규식', '정효림', '이상협', '이승미', '이원섭', '서미소', '박찬국', '최준규', '전상조', '송덕호', '오채은', '장세원', '한경희', '홍종길', '한성용', '황도진', '한준원', '홍사빈', '김병만', '이영희', '현예빈']",91,20190828,"['멜로/로맨스', '드라마']",2,2019,122
20190282,착한 사촌 여동생 무삭제,윤중부,[],0,20190821,['드라마'],1,2019,76
20193463,몸도 주고 마음도 주고,윤중부,[],0,20190816,['드라마'],1,2019,55
