Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Activity Year,Adjusted_In_Degree_Centrality
Ludwig Wittgenstein,0.0696378830083565,0.0603528319405756,0.4300225051886849,0.0238833251483517,0.0804583037040795,0,225,1889.0,0.0,19.0,0.006347968169382
Friedrich Nietzsche,0.0683998761993191,0.0473537604456824,0.4096574708648249,0.0195391578631494,0.0624267863309045,0,221,1844.0,0.0,19.0,0.0062351154019263
Avicenna,0.0671618693902816,0.0201176106468585,0.4336044269930231,0.0047462752712433,0.1001103683196226,0,217,1037.0,0.0,0.5,0.0061148802353135
William James,0.0668523676880222,0.0328071804394924,0.4098302492160965,0.0134052055802983,0.0729487069110285,0,216,1842.0,0.0,19.0,0.0060940494426067
Arius,0.064066852367688,0.0024760136180748,0.3951101331897662,0.0021792256951547,0.0625032341990894,0,207,,,0.5,0.0058330885194005
John Locke,0.0622098421541318,0.0250696378830083,0.4283795095773834,0.0116736031061863,0.0661934514013899,0,201,1632.0,0.0,17.0,0.0056701084809284
Martin Heidegger,0.0615908387496131,0.0334261838440111,0.3948960393760626,0.0192410318615309,0.0428850295046949,0,199,1889.0,0.0,19.0,0.0056144251809201
Alvin Plantinga,0.0603528319405756,0.0507582791705354,0.4263121618417804,0.0082053651763668,0.1149953771056034,0,195,1932.0,0.0,20.0,0.0055019332050294
Blaise Pascal,0.0603528319405756,0.0383782110801609,0.4034213344414745,0.004379188182789,0.0990719600680053,0,195,1623.0,0.0,17.0,0.0055008515113484
Bonaventure,0.0603528319405756,0.0399257195914577,0.375418230865949,0.0037490396019299,0.0774012481077466,0,195,1221.0,0.0,7.5,0.0054974395677165
Edmund Husserl,0.0600433302383163,0.0464252553389043,0.3976432359397209,0.0176379643374198,0.0626573217595524,0,194,1859.0,0.0,19.0,0.0054733592216005
Plotinus,0.0584958217270195,0.0436397400185701,0.4224203104874793,0.0077307596263266,0.0826295330836917,0,189,,,0.5,0.0053258634307569
Bede,0.0578768183225007,0.021355617455896,0.3873917026809428,0.0038475813985304,0.0602411560232086,0,187,,,0.5,0.0052695050875743
Augustine of Hippo,0.0575673166202414,0.0739709068399876,0.4034213344414745,0.0086111364798848,0.0922988203239051,0,186,,,0.5,0.005241325915983
Karl Popper,0.057257814917982,0.0557103064066852,0.4101762435168277,0.0157043932440426,0.0671115783960929,0,185,1902.0,0.0,20.0,0.0052197827842587
Baruch Spinoza,0.0563293098112039,0.0337356855462705,0.4243264283368405,0.0104023884810409,0.081789506827428,0,182,1632.0,0.0,17.0,0.0051341280772585
Nicholas Wolterstorff,0.0554008047044258,0.0473537604456824,0.4243264283368405,0.0046863021883293,0.1125611402613315,0,179,1932.0,0.0,20.0,0.0050504925317962
William of Ockham,0.0541627978953884,0.0377592076756422,0.3930325687844269,0.0045588881922926,0.0829374009477486,0,175,1349.0,0.0,7.5,0.0049335996120533
Tertullian,0.0535437944908697,0.0229031259671928,0.4130238824984549,0.0023608496894738,0.0716746354683568,0,173,,,0.5,0.004874996685296
Meister Eckhart,0.0519962859795728,0.0554008047044258,0.3756117204837127,0.005533644473382,0.0733633696152361,0,168,1260.0,0.0,7.5,0.0047362556275712
Gottlob Frege,0.0516867842773135,0.0501392757660167,0.3974805784938771,0.0109310387074307,0.082948806619211,0,167,1848.0,0.0,19.0,0.0047116030412746
Proclus,0.0516867842773135,0.0269266480965645,0.4162082470979575,0.0022471178070853,0.0806535544712326,0,167,,,0.5,0.0047059216557482
Peter van Inwagen,0.0513772825750541,0.042711234911792,0.4060624826123547,0.0026226980445728,0.1017623689213636,0,166,1942.0,0.0,20.0,0.0046836969847943
Peter van Inwagen,0.0513772825750541,0.042711234911792,0.4060624826123547,0.0026226980445728,0.1017623689213636,0,166,1942.0,0.0,20.0,0.0046836969847943
Roger Bacon,0.0513772825750541,0.0420922315072732,0.3779002544301393,0.0047800434458682,0.0654797398041227,0,166,1214.0,0.0,7.5,0.0046798716320048
Daniel Dennett,0.0510677808727948,0.0714948932219127,0.4052158135493598,0.0179360192708133,0.0852384852407532,0,165,1942.0,0.0,20.0,0.0046554819427172
Alasdair MacIntyre,0.0510677808727948,0.0164035902197462,0.3914492497212427,0.0033806568181911,0.0861639756247842,0,165,1929.0,0.0,20.0,0.0046554819427172
G. E. Moore,0.050448777468276,0.0436397400185701,0.4102339660391352,0.0055301660027977,0.0916649107656303,0,163,1873.0,0.0,19.0,0.0045987502738189
Saul Kripke,0.0479727638502011,0.0433302383163107,0.4086238523512888,0.0064388449174267,0.0893811865953261,0,155,1940.0,0.0,20.0,0.0043733315219464
Peter Singer,0.0467347570411637,0.0473537604456824,0.3794250374429382,0.0096333553822287,0.0547077829590176,0,151,1946.0,0.0,20.0,0.0042604713536381
Noam Chomsky,0.0467347570411637,0.060662333642835,0.3787841167715819,0.0140600731452711,0.054525548953911,0,151,1928.0,0.0,20.0,0.0042604713536381
Al-Kindi,0.046115753636645,0.0207366140513772,0.4136685912692059,0.0034565805991804,0.0679362445192065,0,149,,,0.5,0.0041986965671047
Henry of Ghent,0.0458062519343856,0.0352831940575673,0.3649834183891441,0.0010485062039575,0.068644089583773,0,148,1217.0,0.0,7.5,0.0041724156719079
Pseudo-Dionysius the Areopagite,0.0458062519343856,0.0439492417208294,0.3657160409828245,0.0029631193110967,0.0687862058931565,0,148,,,0.5,0.0041705173955134
John Dewey,0.0442587434230888,0.0281646549056019,0.408967811822965,0.0114525972255561,0.0433422556824488,0,143,1859.0,0.0,19.0,0.0040344864365405
Sigmund Freud,0.0439492417208294,0.0173320953265242,0.3719691926341833,0.0063607742886626,0.018134218867257,0,142,1856.0,0.0,19.0,0.0040062732446766
Duns Scotus,0.0436397400185701,0.0386877127824203,0.3818604352468031,0.0047323426763757,0.0580190721247178,0,141,1266.0,0.0,7.5,0.0039750716874258
William Lane Craig,0.0430207366140513,0.0210461157536366,0.3938290411610503,0.0045620912165944,0.0775641787313922,0,139,1949.0,0.0,20.0,0.0039218908487132
Hilary Putnam,0.0430207366140513,0.0467347570411637,0.4134339189723577,0.0090796890203221,0.0706172649501857,0,139,1926.0,0.0,20.0,0.0039218908487132
