Source,Target,Type,Id,Label,Weight
김성수_Dir_1,정해인_Act_1,Undirected,5644,,1
김성수_Dir_1,정형석_Act_1,Undirected,5645,,1
김성수_Dir_1,조윤상_Act_1,Undirected,5646,,1
김성수_Dir_1,진대연_Act_1,Undirected,5647,,1
김성수_Dir_1,진영_Act_1,Undirected,5648,,1
김성수_Dir_1,차건우_Act_1,Undirected,5649,,1
김성수_Dir_1,차래형_Act_1,Undirected,5650,,1
김성수_Dir_1,최기동_Act_1,Undirected,5651,,1
김성수_Dir_1,최병모_Act_1,Undirected,5652,,1
김성수_Dir_1,최원경_Act_1,Undirected,5653,,1
김성수_Dir_1,추은경_Act_1,Undirected,5654,,1
김성수_Dir_1,하헌진_Act_1,Undirected,5655,,1
김성수_Dir_1,하회정_Act_1,Undirected,5656,,1
김성수_Dir_1,한규원_Act_1,Undirected,5657,,1
김성수_Dir_1,한창현_Act_1,Undirected,5658,,1
김성수_Dir_1,허동원_Act_1,Undirected,5659,,1
김성수_Dir_1,현봉식_Act_1,Undirected,5660,,1
김성수_Dir_1,홍서준_Act_1,Undirected,5661,,1
김성수_Dir_1,홍승현_Act_1,Undirected,5662,,1
김성수_Dir_1,황인성_Act_1,Undirected,5663,,1
김성수_Dir_1,황정민_Act_1,Undirected,5664,,1
김성환_Dir_1,고은영_Act_1,Undirected,5665,,1
김성환_Dir_1,김용석_Act_1,Undirected,5666,,1
김성환_Dir_1,김지희_Act_1,Undirected,5667,,1
김성환_Dir_1,김채원_Act_1,Undirected,5668,,1
김성환_Dir_1,나현준_Act_1,Undirected,5669,,2
김성환_Dir_1,문진승_Act_1,Undirected,5670,,1
김성환_Dir_1,박성균_Act_1,Undirected,5671,,1
김성환_Dir_1,박지아_Act_1,Undirected,5672,,1
김성환_Dir_1,손미희_Act_1,Undirected,5673,,1
김성환_Dir_1,손성수_Act_1,Undirected,5674,,1
김성환_Dir_1,심유승_Act_1,Undirected,5675,,1
김성환_Dir_1,안치욱_Act_1,Undirected,5676,,1
김성환_Dir_1,양흥주_Act_1,Undirected,5677,,1
김성환_Dir_1,오자훈_Act_1,Undirected,5678,,1
김성환_Dir_1,원동은_Act_1,Undirected,5679,,1
김성환_Dir_1,윤상일_Act_1,Undirected,5680,,1
김성환_Dir_1,이주연_Act_1,Undirected,5681,,1
김성환_Dir_1,이준용_Act_1,Undirected,5682,,1
김성환_Dir_1,이태훈_Act_1,Undirected,5683,,1
김성환_Dir_1,장준휘_Act_1,Undirected,5684,,1
김성환_Dir_1,장희용_Act_1,Undirected,5685,,1
김성환_Dir_1,전은주_Act_1,Undirected,5686,,1
김성환_Dir_1,전진기_Act_1,Undirected,5687,,1
김성환_Dir_1,정서인_Act_1,Undirected,5688,,1
김성환_Dir_1,조유신_Act_1,Undirected,5689,,1
김성환_Dir_1,주종혁_Act_1,Undirected,5690,,1
김성환_Dir_1,최민철_Act_1,Undirected,5691,,1
김성환_Dir_1,최선중_Act_1,Undirected,5692,,1
김성환_Dir_1,최웅희_Act_1,Undirected,5693,,1
김성환_Dir_1,최현정_Act_1,Undirected,5694,,1
김성환_Dir_1,한솔미_Act_1,Undirected,5695,,1
