Source,Target,Type,Weight
김수정_Dir_1,박재찬_Act_1,Undirected,1
김수정_Dir_1,박종환_Act_1,Undirected,1
김수정_Dir_1,박준환_Act_1,Undirected,1
김수정_Dir_1,변은지_Act_1,Undirected,1
김수정_Dir_1,서갑숙_Act_1,Undirected,1
김수정_Dir_1,서지원_Act_1,Undirected,1
김수정_Dir_1,석유진_Act_1,Undirected,1
김수정_Dir_1,손범서_Act_1,Undirected,1
김수정_Dir_1,송명호_Act_1,Undirected,1
김수정_Dir_1,송예림_Act_1,Undirected,1
김수정_Dir_1,송지오_Act_1,Undirected,1
김수정_Dir_1,신민선_Act_1,Undirected,1
김수정_Dir_1,신평식_Act_1,Undirected,1
김수정_Dir_1,안제현_Act_1,Undirected,1
김수정_Dir_1,양지웅_Act_1,Undirected,1
김수정_Dir_1,양흥주_Act_1,Undirected,1
김수정_Dir_1,우주명_Act_1,Undirected,1
김수정_Dir_1,유민곤_Act_1,Undirected,1
김수정_Dir_1,이봄_Act_1,Undirected,1
김수정_Dir_1,이유진_Act_1,Undirected,1
김수정_Dir_1,이정혁_Act_1,Undirected,1
김수정_Dir_1,이진성_Act_1,Undirected,1
김수정_Dir_1,이태경_Act_1,Undirected,1
김수정_Dir_1,이한주_Act_1,Undirected,1
김수정_Dir_1,이혜민_Act_1,Undirected,1
김수정_Dir_1,장선유_Act_1,Undirected,1
김수정_Dir_1,정주원_Act_1,Undirected,1
김수정_Dir_1,정준교_Act_1,Undirected,1
김수정_Dir_1,조성진_Act_1,Undirected,1
김수정_Dir_1,차재훈_Act_1,Undirected,1
김수정_Dir_1,최수견_Act_1,Undirected,1
김수정_Dir_1,한태경_Act_1,Undirected,1
김수정_Dir_1,한태희_Act_1,Undirected,1
김수정_Dir_1,허이진_Act_1,Undirected,1
김시우_Dir_1,강정탁_Act_1,Undirected,1
김시우_Dir_1,강한솔_Act_1,Undirected,1
김시우_Dir_1,공재민_Act_1,Undirected,1
김시우_Dir_1,김남희_Act_1,Undirected,1
김시우_Dir_1,김동일_Act_1,Undirected,1
김시우_Dir_1,김동해_Act_1,Undirected,1
김시우_Dir_1,김수민_Act_1,Undirected,1
김시우_Dir_1,김연서_Act_1,Undirected,1
김시우_Dir_1,김춘봉_Act_1,Undirected,1
김시우_Dir_1,김태희_Act_1,Undirected,1
김시우_Dir_1,나혜진_Act_1,Undirected,1
김시우_Dir_1,동방우_Act_1,Undirected,1
김시우_Dir_1,민우혁_Act_1,Undirected,1
김시우_Dir_1,박현일_Act_1,Undirected,1
김시우_Dir_1,배다해_Act_1,Undirected,1
김시우_Dir_1,백승철_Act_1,Undirected,1
김시우_Dir_1,백종건_Act_1,Undirected,1
김시우_Dir_1,서울_Act_1,Undirected,1
김시우_Dir_1,서진원_Act_1,Undirected,1
김시우_Dir_1,서채우_Act_1,Undirected,1
김시우_Dir_1,성기윤_Act_1,Undirected,1
김시우_Dir_1,송창규_Act_1,Undirected,1
김시우_Dir_1,심태선_Act_1,Undirected,1
김시우_Dir_1,양서윤_Act_1,Undirected,1
김시우_Dir_1,오정철_Act_1,Undirected,1
김시우_Dir_1,오주환_Act_1,Undirected,1
김시우_Dir_1,윤상현_Act_1,Undirected,1
김시우_Dir_1,이민영_Act_1,Undirected,1
김시우_Dir_1,이병욱_Act_1,Undirected,1
김시우_Dir_1,이세인_Act_1,Undirected,1
김시우_Dir_1,이세창_Act_1,Undirected,1
김시우_Dir_1,이윤희_Act_1,Undirected,1
김시우_Dir_1,이현일_Act_1,Undirected,1
김시우_Dir_1,임진혁_Act_1,Undirected,1
김시우_Dir_1,임춘길_Act_1,Undirected,1
김시우_Dir_1,임호_Act_1,Undirected,1
김시우_Dir_1,장명갑_Act_1,Undirected,1
김시우_Dir_1,정동화_Act_1,Undirected,1
김시우_Dir_1,정종훈_Act_1,Undirected,1
김시우_Dir_1,정지호_Act_1,Undirected,1
김시우_Dir_1,주효경_Act_1,Undirected,1
김시우_Dir_1,지대한_Act_1,Undirected,1
김시우_Dir_1,진모_Act_1,Undirected,1
김시우_Dir_1,황무영_Act_1,Undirected,1
김시우_Dir_1,황석정_Act_1,Undirected,1
김재훈_Dir_1,강춘성_Act_1,Undirected,1
김재훈_Dir_1,곽시양_Act_1,Undirected,1
김재훈_Dir_1,권민경_Act_1,Undirected,1
김재훈_Dir_1,김강민_Act_1,Undirected,1
김재훈_Dir_1,김광규_Act_1,Undirected,1
김재훈_Dir_1,김서원_Act_1,Undirected,1
김재훈_Dir_1,김원해_Act_1,Undirected,1
김재훈_Dir_1,김지아_Act_1,Undirected,1
김재훈_Dir_1,김진만_Act_1,Undirected,1
김재훈_Dir_1,김태겸_Act_1,Undirected,1
김재훈_Dir_1,김한솔_Act_1,Undirected,1
김재훈_Dir_1,문병주_Act_1,Undirected,1
김재훈_Dir_1,박성웅_Act_1,Undirected,1
김재훈_Dir_1,박성준_Act_1,Undirected,1
김재훈_Dir_1,박철민_Act_1,Undirected,1
김재훈_Dir_1,박효주_Act_1,Undirected,1
김재훈_Dir_1,배진완_Act_1,Undirected,1
김재훈_Dir_1,백종현_Act_1,Undirected,1
김재훈_Dir_1,서성종_Act_1,Undirected,1
김재훈_Dir_1,석보배_Act_1,Undirected,1
김재훈_Dir_1,성동일_Act_1,Undirected,1
김재훈_Dir_1,손정환_Act_1,Undirected,1
김재훈_Dir_1,손종학_Act_1,Undirected,2
김재훈_Dir_1,송영규_Act_1,Undirected,1
김재훈_Dir_1,송우림_Act_1,Undirected,1
김재훈_Dir_1,신수연_Act_1,Undirected,1
김재훈_Dir_1,신승환_Act_1,Undirected,2
김재훈_Dir_1,예수정_Act_1,Undirected,1
김재훈_Dir_1,오대환_Act_1,Undirected,1
김재훈_Dir_1,오윤수_Act_1,Undirected,1
김재훈_Dir_1,왕지혜_Act_1,Undirected,1
김재훈_Dir_1,유아름_Act_1,Undirected,1
김재훈_Dir_1,윤경호_Act_1,Undirected,1
김재훈_Dir_1,윤병희_Act_1,Undirected,2
김재훈_Dir_1,이나현_Act_1,Undirected,1
김재훈_Dir_1,이명희_Act_1,Undirected,1
김재훈_Dir_1,이상원_Act_1,Undirected,1
김재훈_Dir_1,이서한_Act_1,Undirected,1
김재훈_Dir_1,이승준_Act_1,Undirected,1
김재훈_Dir_1,임재성_Act_1,Undirected,1
